strategy,symbol,hour,n,wins,total,avg,hit
support_resistance_bounce,ZB,12,9,5,2225.864285714292,247.31825396825465,55.55555555555556
support_resistance_bounce,ZT,21,27,13,2132.4129464284697,78.97825727512851,48.148148148148145
support_resistance_bounce,NG,6,26,5,2092.1902701514023,80.4688565442847,19.230769230769234
narrow_range_break,ES,1,47,22,2071.48571428587,44.07416413374192,46.808510638297875
gap_fill,ZN,23,123,85,2045.2098214283988,16.627722125434136,69.10569105691057
liquidity_sweep,NG,15,30,16,2023.5441480227637,67.4514716007588,53.333333333333336
support_resistance_bounce,ES,4,19,4,1939.4857142858702,102.07819548873002,21.052631578947366
support_resistance_bounce,ES,5,13,5,1911.9285714285327,147.0714285714256,38.46153846153847
fair_value_gap,ZF,18,62,31,1879.3321428568972,30.311808755756406,50.0
support_resistance_bounce,CL,22,7,2,1871.2870003836474,267.32671434052105,28.57142857142857
support_resistance_bounce,ZB,6,18,6,1843.2250000001138,102.40138888889521,33.33333333333333
gap_fill,ZN,19,120,81,1807.500000000142,15.062500000001185,67.5
narrow_range_break,NG,7,60,25,1786.616868482312,29.776947808038532,41.66666666666667
rsi2_extreme_reversion,CL,20,7,1,1783.5874877929687,254.79821254185268,14.285714285714285
gap_fill,ZB,20,135,67,1748.8392857142348,12.954365079364702,49.629629629629626
rsi2_extreme_reversion,NG,19,10,2,1747.194354248047,174.7194354248047,20.0
fair_value_gap,NG,5,74,32,1738.1382875169659,23.488355236715755,43.24324324324324
support_resistance_bounce,6E,9,23,8,1688.4291645594885,73.4099636764995,34.78260869565217
keltner_breakout,6E,0,40,19,1683.565203810027,42.089130095250674,47.5
liquidity_sweep,6E,13,71,31,1661.9530335392747,23.407789204778517,43.66197183098591
bollinger_squeeze_break,NG,20,37,19,1639.2948307309757,44.30526569543178,51.35135135135135
liquidity_sweep,ZB,9,43,20,1596.6133928570957,37.13054401993246,46.51162790697674
liquidity_sweep,6E,18,34,17,1534.0753254584577,45.11986251348405,50.0
narrow_range_break,NG,8,47,19,1527.4193017142118,32.498283015195994,40.42553191489361
inside_bar_break,NG,6,91,39,1520.9315117972421,16.71353309667299,42.857142857142854
liquidity_sweep,NG,14,62,26,1520.2048504829318,24.51943307230535,41.935483870967744
liquidity_sweep,NG,23,44,20,1506.771001802198,34.2447954955045,45.45454545454545
rsi2_extreme_reversion,ZN,5,5,2,1504.8999999999999,300.97999999999996,40.0
gap_fill,ZN,0,116,76,1498.9241071426338,12.92175954433305,65.51724137931035
keltner_breakout,6E,1,45,21,1483.4387163876877,32.96530480861528,46.666666666666664
liquidity_sweep,6E,7,63,26,1481.3678070203252,23.51377471460834,41.269841269841265
opening_range_breakout,ES,23,19,8,1470.6142857142663,77.40075187969823,42.10526315789473
rsi2_extreme_reversion,NG,3,10,2,1463.5901771545412,146.35901771545412,20.0
fair_value_gap,ZB,20,93,37,1460.4142857143484,15.703379416283315,39.784946236559136
opening_range_breakout,NG,8,28,11,1442.0679197311713,51.50242570468469,39.285714285714285
support_resistance_bounce,NQ,1,13,2,1425.1642857141296,109.62802197800997,15.384615384615385
support_resistance_bounce,NQ,23,8,2,1422.1571428571742,177.76964285714678,25.0
support_resistance_bounce,ZB,4,28,8,1367.6339285715303,48.844068877554655,28.57142857142857
rsi2_extreme_reversion,NG,18,8,2,1344.0076866149902,168.00096082687378,25.0
rsi2_extreme_reversion,6E,23,11,1,1341.5867511749268,121.96243192499334,9.090909090909092
rsi2_extreme_reversion,ZF,13,5,3,1335.475,267.09499999999997,60.0
narrow_range_break,NG,5,85,35,1334.7056896754784,15.702419878535041,41.17647058823529
vol_spike_fade,ZB,3,13,10,1331.7732142856657,102.44409340658967,76.92307692307693
order_block,NG,23,14,9,1328.2743517875406,94.87673941339575,64.28571428571429
keltner_breakout,ES,1,8,6,1323.7874999999817,165.47343749999771,75.0
gap_fill,ES,18,14,6,1323.5357142857792,94.53826530612709,42.857142857142854
rsi2_extreme_reversion,ZT,13,5,1,1304.225,260.84499999999997,20.0
opening_range_breakout,ES,1,19,8,1301.750000000091,68.51315789474162,42.10526315789473
support_resistance_bounce,ZB,5,29,7,1274.2107142856657,43.938300492609166,24.137931034482758
order_block,6E,1,30,14,1268.2360321829012,42.274534406096706,46.666666666666664
gap_fill,ZB,2,113,55,1266.794642857224,11.210572060683399,48.67256637168141
fair_value_gap,NG,12,61,25,1257.9729068075362,20.622506668976005,40.98360655737705
inside_bar_break,ES,23,52,22,1223.714285714266,23.532967032966653,42.30769230769231
support_resistance_bounce,6E,14,8,2,1215.1083032743477,151.88853790929346,25.0
donchian_breakout,6E,2,16,5,1208.9140136718804,75.55712585449253,31.25
gap_fill,ZN,18,37,24,1189.6803571428613,32.15352316602328,64.86486486486487
pivot_reversal,NG,23,30,14,1184.323013714405,39.47743379048017,46.666666666666664
keltner_breakout,ZB,9,18,10,1177.6625000000367,65.42569444444649,55.55555555555556
support_resistance_bounce,6E,22,22,6,1177.2194004197615,53.509972746352794,27.27272727272727
gap_fill_wide,6E,18,8,5,1176.8677700111002,147.10847125138753,62.5
narrow_range_break,CL,2,5,3,1172.6290945870555,234.5258189174111,60.0
inside_bar_break,NQ,2,5,3,1158.8571428571013,231.77142857142024,60.0
